"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 31, 2019","1,437.80","1,443.70","1,447.80","1,422.30","419.58K","-0.28%"
"Jul 30, 2019","1,441.80","1,439.50","1,445.70","1,434.80","259.62K","0.59%"
"Jul 29, 2019","1,433.30","1,431.90","1,440.80","1,427.50","174.17K","0.08%"
"Jul 26, 2019","1,432.20","1,427.40","1,437.60","1,425.60","118.10K","0.33%"
"Jul 25, 2019","1,427.50","1,439.30","1,447.00","1,423.90","115.82K","-0.63%"
"Jul 24, 2019","1,436.50","1,431.00","1,442.90","1,429.40","67.12K","0.14%"
"Jul 23, 2019","1,434.50","1,438.40","1,444.00","1,427.50","63.45K","-0.36%"
"Jul 22, 2019","1,439.70","1,441.70","1,443.50","1,435.70","31.81K","0.02%"
"Jul 19, 2019","1,439.40","1,460.40","1,467.00","1,434.00","44.94K","-0.10%"
"Jul 18, 2019","1,440.80","1,441.00","1,462.30","1,428.10","41.23K","0.34%"
"Jul 17, 2019","1,435.90","1,420.60","1,440.80","1,413.70","26.14K","0.86%"
"Jul 16, 2019","1,423.60","1,428.80","1,432.40","1,415.00","22.67K","-0.18%"
"Jul 15, 2019","1,426.10","1,429.00","1,433.90","1,421.90","13.16K","0.09%"
"Jul 12, 2019","1,424.80","1,418.40","1,431.40","1,417.20","31.10K","0.39%"
"Jul 11, 2019","1,419.30","1,433.40","1,441.30","1,415.50","47.27K","-0.39%"
"Jul 10, 2019","1,424.90","1,412.20","1,433.30","1,404.40","47.99K","0.86%"
"Jul 09, 2019","1,412.80","1,409.80","1,414.10","1,399.80","31.22K","0.04%"
"Jul 08, 2019","1,412.20","1,412.40","1,421.50","1,406.00","48.89K","0.01%"
"Jul 05, 2019","1,412.10","1,434.10","1,437.50","1,400.70","26.07K","-0.80%"
"Jul 04, 2019","1,423.55","1,421.25","1,426.65","1,412.85","-","-0.65%"
"Jul 03, 2019","1,432.90","1,435.50","1,452.60","1,426.60","17.76K","0.92%"
"Jul 02, 2019","1,419.80","1,399.50","1,435.00","1,398.80","33.95K","1.36%"
"Jul 01, 2019","1,400.80","1,418.00","1,418.00","1,396.40","14.99K","-1.71%"
"Jun 28, 2019","1,425.10","1,424.40","1,439.10","1,420.10","8.76K","0.12%"
"Jun 27, 2019","1,423.40","1,423.60","1,426.00","1,412.70","7.37K","-0.24%"
"Jun 26, 2019","1,426.80","1,438.00","1,438.00","1,416.40","7.75K","-0.23%"
"Jun 25, 2019","1,430.10","1,433.20","1,453.70","1,427.00","13.67K","0.04%"
"Jun 24, 2019","1,429.50","1,414.70","1,435.90","1,414.70","8.80K","1.30%"
"Jun 21, 2019","1,411.20","1,403.50","1,425.50","1,398.00","10.98K","0.21%"
"Jun 20, 2019","1,408.30","1,375.20","1,408.90","1,373.30","15.31K","3.54%"
"Jun 19, 2019","1,360.10","1,361.40","1,377.60","1,356.50","6.19K","-0.15%"
"Jun 18, 2019","1,362.10","1,354.70","1,369.60","1,353.70","5.91K","0.58%"
"Jun 17, 2019","1,354.20","1,357.10","1,358.20","1,348.20","4.80K","-0.13%"
"Jun 14, 2019","1,355.90","1,357.60","1,373.60","1,352.80","8.50K","0.06%"
"Jun 13, 2019","1,355.10","1,349.00","1,358.00","1,347.60","6.18K","0.51%"
"Jun 12, 2019","1,348.20","1,342.30","1,353.60","1,341.50","10.48K","0.41%"
"Jun 11, 2019","1,342.70","1,343.50","1,344.70","1,335.10","6.58K","0.15%"
"Jun 10, 2019","1,340.70","1,351.40","1,353.00","1,340.30","7.98K","-1.23%"
"Jun 07, 2019","1,357.40","1,351.40","1,363.80","1,345.80","6.87K","0.25%"
"Jun 06, 2019","1,354.00","1,348.00","1,355.30","1,343.50","2.92K","0.68%"
"Jun 05, 2019","1,344.90","1,341.00","1,360.10","1,341.00","6.83K","0.36%"
"Jun 04, 2019","1,340.10","1,340.90","1,345.20","1,336.10","3.87K","0.06%"
"Jun 03, 2019","1,339.30","1,323.10","1,344.10","1,322.70","5.51K","1.26%"
"May 31, 2019","1,322.60","1,304.40","1,323.00","1,304.20","7.20K","1.42%"
"May 30, 2019","1,304.10","1,296.20","1,305.20","1,290.80","2.12K","0.48%"
"May 29, 2019","1,297.90","1,295.90","1,302.00","1,295.90","7.41K","0.28%"
"May 28, 2019","1,294.30","1,301.80","1,304.00","1,292.90","9.02K","0.73%"
"May 27, 2019","1,284.95","1,284.25","1,286.85","1,283.25","-","0.06%"
"May 26, 2019","1,284.15","1,284.20","1,285.15","1,283.65","-","-1.30%"
"May 24, 2019","1,301.00","1,300.40","1,302.00","1,297.40","3.32K","-0.13%"
"May 23, 2019","1,302.70","1,290.20","1,304.20","1,289.90","6.98K","0.88%"
"May 22, 2019","1,291.40","1,291.20","1,293.70","1,289.20","11.47K","0.08%"
"May 21, 2019","1,290.40","1,293.70","1,293.80","1,286.30","4.54K","-0.32%"
"May 20, 2019","1,294.60","1,294.70","1,295.80","1,291.10","5.62K","0.12%"
"May 17, 2019","1,293.00","1,304.10","1,305.90","1,292.00","4.35K","-0.81%"
"May 16, 2019","1,303.50","1,314.50","1,316.20","1,301.90","5.25K","-0.88%"
"May 15, 2019","1,315.10","1,315.00","1,318.70","1,310.80","4.38K","0.11%"
"May 14, 2019","1,313.60","1,318.70","1,321.70","1,312.00","5.46K","-0.45%"
"May 13, 2019","1,319.50","1,306.00","1,319.80","1,300.30","6.73K","1.09%"
"May 10, 2019","1,305.30","1,303.20","1,308.00","1,302.00","3.12K","0.16%"
"May 09, 2019","1,303.20","1,300.50","1,307.00","1,298.60","5.94K","0.28%"
"May 08, 2019","1,299.50","1,303.50","1,310.20","1,298.40","2.88K","-0.31%"
"May 07, 2019","1,303.60","1,300.70","1,305.30","1,297.20","3.77K","0.14%"
