"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 05, 2019","1,476.50","1,451.20","1,481.80","1,448.80","534.19K","1.30%"
"Aug 02, 2019","1,457.50","1,457.50","1,461.90","1,442.50","493.05K","1.75%"
"Aug 01, 2019","1,432.40","1,425.60","1,458.20","1,412.10","587.56K","-0.38%"
"Jul 31, 2019","1,437.80","1,443.70","1,447.80","1,422.30","419.58K","-0.28%"
"Jul 30, 2019","1,441.80","1,439.50","1,445.70","1,434.80","259.62K","0.59%"
"Jul 29, 2019","1,433.30","1,431.90","1,440.80","1,427.50","174.17K","0.08%"
"Jul 26, 2019","1,432.20","1,427.40","1,437.60","1,425.60","118.10K","0.33%"
"Jul 25, 2019","1,427.50","1,439.30","1,447.00","1,423.90","115.82K","-0.63%"
"Jul 24, 2019","1,436.50","1,431.00","1,442.90","1,429.40","67.12K","0.14%"
"Jul 23, 2019","1,434.50","1,438.40","1,444.00","1,427.50","63.45K","-0.36%"
"Jul 22, 2019","1,439.70","1,441.70","1,443.50","1,435.70","31.81K","0.02%"
"Jul 19, 2019","1,439.40","1,460.40","1,467.00","1,434.00","44.94K","-0.10%"
"Jul 18, 2019","1,440.80","1,441.00","1,462.30","1,428.10","41.23K","0.34%"
"Jul 17, 2019","1,435.90","1,420.60","1,440.80","1,413.70","26.14K","0.86%"
"Jul 16, 2019","1,423.60","1,428.80","1,432.40","1,415.00","22.67K","-0.18%"
"Jul 15, 2019","1,426.10","1,429.00","1,433.90","1,421.90","13.16K","0.09%"
"Jul 12, 2019","1,424.80","1,418.40","1,431.40","1,417.20","31.10K","0.39%"
"Jul 11, 2019","1,419.30","1,433.40","1,441.30","1,415.50","47.27K","-0.39%"
"Jul 10, 2019","1,424.90","1,412.20","1,433.30","1,404.40","47.99K","0.86%"
"Jul 09, 2019","1,412.80","1,409.80","1,414.10","1,399.80","31.22K","0.04%"
"Jul 08, 2019","1,412.20","1,412.40","1,421.50","1,406.00","48.89K","0.01%"
"Jul 05, 2019","1,412.10","1,434.10","1,437.50","1,400.70","26.07K","-0.80%"
"Jul 04, 2019","1,423.55","1,421.25","1,426.65","1,412.85","-","-0.65%"
"Jul 03, 2019","1,432.90","1,435.50","1,452.60","1,426.60","17.76K","0.92%"
"Jul 02, 2019","1,419.80","1,399.50","1,435.00","1,398.80","33.95K","1.36%"
"Jul 01, 2019","1,400.80","1,418.00","1,418.00","1,396.40","14.99K","-1.71%"
"Jun 28, 2019","1,425.10","1,424.40","1,439.10","1,420.10","8.76K","0.12%"
"Jun 27, 2019","1,423.40","1,423.60","1,426.00","1,412.70","7.37K","-0.24%"
"Jun 26, 2019","1,426.80","1,438.00","1,438.00","1,416.40","7.75K","-0.23%"
"Jun 25, 2019","1,430.10","1,433.20","1,453.70","1,427.00","13.67K","0.04%"
"Jun 24, 2019","1,429.50","1,414.70","1,435.90","1,414.70","8.80K","1.30%"
"Jun 21, 2019","1,411.20","1,403.50","1,425.50","1,398.00","10.98K","0.21%"
"Jun 20, 2019","1,408.30","1,375.20","1,408.90","1,373.30","15.31K","3.54%"
"Jun 19, 2019","1,360.10","1,361.40","1,377.60","1,356.50","6.19K","-0.15%"
"Jun 18, 2019","1,362.10","1,354.70","1,369.60","1,353.70","5.91K","0.58%"
